Player Name,Number,Odds,Projection,Avg,Home/Away Avg,Home/Away,Date,Stat Category,Team
chandler-simpson,0.0,O 1100 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TB
xavier-edwards-ss,0.0,O 1100 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
kebryan-hayes,0.0,O 1000 | U 0,1,1,1,HOME,"""07-25""",Home Runs,PIT
tyler-freeman-ss,0.0,O 870 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,COL
miguel-andujar,0.0,O 870 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATH
wilmer-flores,0.0,O 870 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
jung-lee,0.0,O 1100 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
mike-tauchman,0.0,O 550 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
nolan-jones-3b,0.0,O 870 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
steven-kwan,0.0,O 1200 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
jake-mangum,0.0,O 850 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TB
luis-arraez,0.0,O 1100 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
daylen-lile,0.0,O 725 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
blake-perkins-of,0.0,O 900 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
isaac-collins,0.0,O 750 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
liam-hicks,0.0,O 870 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
spencer-horwitz,0.0,O 575 | U 0,1,1,1,HOME,"""07-25""",Home Runs,PIT
ryan-ohearn,0.0,O 550 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BAL
ezequiel-tovar,0.0,O 700 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,COL
jacob-wilson-ss,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATH
tyler-france,0.0,O 700 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
jonah-heim,0.0,O 560 | U 0,1,1,1,HOME,"""07-25""",Home Runs,TEX
jeff-mcneil,0.0,O 800 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
carlos-santana,0.0,O 700 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
angel-martinez,0.0,O 750 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
brice-turang,0.0,O 750 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
graham-pauley,0.0,O 800 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
zach-mckinstry,0.0,O 800 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
jordan-beck,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,COL
jp-crawford,0.0,O 900 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SEA
roman-anthony,0.0,O 550 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BOS
mark-vientos,0.0,O 750 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
michael-yastrzemski,0.0,O 630 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
colson-montgomery,0.0,O 725 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
chase-meidroth,0.0,O 800 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
maikel-garcia,0.0,O 900 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
daniel-schneemann,0.0,O 630 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
brendan-donovan,0.0,O 650 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
dane-myers,0.0,O 870 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
caleb-durbin,0.0,O 900 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
bryan-reynolds,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,PIT
ramon-urias,0.0,O 700 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BAL
jackson-holliday,0.0,O 550 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BAL
jt-realmuto,0.0,O 630 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,PHI
otto-kemp,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,PHI
freddie-freeman,0.0,O 550 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
michael-conforto,0.0,O 625 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
jonathan-india,0.0,O 750 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
john-rave,0.0,O 900 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
jac-caglianone,0.0,O 700 | U 0,1,1,1,HOME,"""07-25""",Home Runs,KC
eric-wagaman,0.0,O 750 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
jake-mccarthy,0.0,O 1100 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ARI
nick-gonzales-if,0.0,O 800 | U 0,1,1,1,HOME,"""07-25""",Home Runs,PIT
wenceel-perez,0.0,O 750 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
colt-keith,0.0,O 560 | U 0,1,1,1,HOME,"""07-25""",Home Runs,DET
brady-house,0.0,O 680 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
ryan-jeffers,0.0,O 480 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
jurickson-profar,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATL
xander-bogaerts,0.0,O 825 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
alejandro-kirk,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TOR
willi-castro,0.0,O 700 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
harrison-bader,0.0,O 680 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
trea-turner,0.0,O 560 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,PHI
brandon-marsh,0.0,O 550 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,PHI
marcus-semien,0.0,O 475 | U 0,1,1,1,HOME,"""07-25""",Home Runs,TEX
rafael-devers,0.0,O 475 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
willy-adames,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
heliot-ramos-of,0.0,O 630 | U 0,1,1,1,HOME,"""07-25""",Home Runs,SF
brett-baty,0.0,O 800 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
edgar-quero,0.0,O 600 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
ramon-laureano,0.0,O 550 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BAL
julio-rodriguez-of,0.0,O 575 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SEA
luis-garcia-2b,0.0,O 525 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,WSH
jarren-duran,0.0,O 425 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BOS
jose-adolis-garcia,0.0,O 340 | U 0,1,1,1,HOME,"""07-25""",Home Runs,TEX
kyle-manzardo,0.0,O 500 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,CLE
josh-lowe-3b,0.0,O 400 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TB
jacob-cronenworth,0.0,O 575 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,SD
alec-burleson,0.0,O 475 | U 0,1,1,1,HOME,"""07-25""",Home Runs,STL
jesus-sanchez,0.0,O 470 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,MIA
joey-ortiz,0.0,O 850 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIL
andrew-mccutchen,0.0,O 525 | U 0,1,1,1,HOME,"""07-25""",Home Runs,PIT
geraldo-perdomo,0.0,O 800 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ARI
bo-bichette,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,TOR
gunnar-henderson,0.0,O 370 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BAL
jordan-westburg,0.0,O 400 | U 0,1,1,1,HOME,"""07-25""",Home Runs,BAL
hunter-goodman,0.0,O 370 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,COL
carlos-correa,0.0,O 500 | U 0,1,1,1,HOME,"""07-25""",Home Runs,MIN
mookie-betts,0.0,O 475 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,LAD
ozhaino-albies,0.0,O 600 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,ATL
wyatt-langford,0.0,O 390 | U 0,1,1,1,HOME,"""07-25""",Home Runs,TEX
francisco-lindor,0.0,O 560 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
brandon-nimmo,0.0,O 575 | U 0,1,1,1,AWAY,"""07-25""",Home Runs,NYM
lenyn-sosa,0.0,O 560 | U 0,1,1,1,HOME,"""07-25""",Home Runs,CWS
